SYMBOL,TRADE_DATE,CLOSE_PRICE,PREV_DATE,PREV_CLOSE
ABREL,2026-08-27,1393.4,2026-08-26,1392.3
ADANIENT,2026-08-27,3169.0,2026-08-26,3112.0
ARTEMISMED,2026-08-28,319.25,2026-08-27,316.95
ASIANPAINT,2026-08-27,2631.0,2026-08-26,2626.5
ATHERENERG,2026-08-27,1495.3,2026-08-26,1494.6
AXISBANK,2026-08-27,1256.0,2026-08-26,1255.0
BAJFINANCE,2026-08-27,1083.0,2026-08-26,1085.0
BSE,2026-08-27,3328.0,2026-08-26,3325.6
COFORGE,2026-08-27,1901.8,2026-08-26,1880.0
CRAMC,2026-08-27,258.9,2026-08-26,260.6
DIXON,2026-08-27,14711.0,2026-08-26,14735.0
EICHERMOT,2026-08-27,8100.0,2026-08-26,8035.0
GODREJPROP,2026-08-27,2069.4,2026-08-26,2035.1
HCLTECH,2026-08-27,1282.0,2026-08-26,1298.5
HDFCBANK,2026-08-27,711.0,2026-08-26,727.2
HINDUNILVR,2026-08-27,2009.0,2026-08-26,2021.0
HINDZINC,2026-08-27,610.1,2026-08-26,626.5
ICICIBANK,2026-08-27,1443.0,2026-08-26,1430.0
IEX,2026-08-27,122.0,2026-08-26,122.0
INDHOTEL,2026-08-27,718.5,2026-08-26,721.0
INDUSTOWER,2026-08-27,379.95,2026-08-26,377.7
INFY,2026-08-27,1110.8,2026-08-26,1120.0
ITC,2026-08-27,269.0,2026-08-26,270.25
IVZINGOLD,2026-08-26,139.65,2026-08-25,140.3
JUNIORBEES,2026-08-26,806.9,2026-08-25,804.14
KOTAKBANK,2026-08-27,424.2,2026-08-26,416.7
LT,2026-08-27,4027.0,2026-08-26,4038.1
LTM,2026-08-27,4464.0,2026-08-26,4460.0
MARUTI,2026-08-27,13440.0,2026-08-26,13520.0
MON100,2026-08-26,326.0,2026-08-25,329.05
NAM_INDIA,2026-08-27,1204.0,2026-08-26,1223.0
NTPC,2026-08-27,330.9,2026-08-26,334.6
ONGC,2026-08-27,232.0,2026-08-26,232.21
PERSISTENT,2026-08-27,5654.0,2026-08-26,5590.5
POWERGRID,2026-08-27,264.9,2026-08-26,265.2
RADICO,2026-08-27,4606.0,2026-08-26,4614.0
RELIANCE,2026-08-27,1282.2,2026-08-26,1298.0
SBIN,2026-08-27,1042.9,2026-08-26,1052.0
SHRIRAMPPS,2026-08-27,76.74,2026-08-26,77.54
SUNPHARMA,2026-08-27,1913.3,2026-08-26,1899.5
TATAPOWER,2026-08-27,352.0,2026-08-26,364.0
TATASTEEL,2026-08-27,186.8,2026-08-26,188.01
TATSILV,2026-08-28,23.37,2026-08-27,22.97
TCS,2026-08-27,2248.4,2026-08-26,2270.0
TITAN,2026-08-27,5139.3,2026-08-26,5100.0
TMPV,2026-08-27,316.0,2026-08-26,313.1
VEDL,2026-08-27,281.0,2026-08-26,286.5
WIPRO,2026-08-27,176.4,2026-08-26,177.35
YESBANK,2026-08-27,22.26,2026-08-26,22.38
