Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
ARTMED,ARTEMIS MEDICARE SERVICES LTD,INE025R01021,Buy,90,282.00,75.02,0.80,3.81,TT,STT Paid,icicidirect,11-May-2026,NSE,
ATHENE,ATHER ENERGY LIMITED,INE0LEZ01016,Buy,46,321.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,03-May-2025,NSE,
ATHENE,ATHER ENERGY LIMITED,INE0LEZ01016,Sell,14,954.00,39.48,0.42,0.00,TT,STT Paid,icicidirect,11-May-2026,NSE,
ATHENE,ATHER ENERGY LIMITED,INE0LEZ01016,Sell,17,954.00,47.94,0.51,0.00,TT,STT Paid,icicidirect,11-May-2026,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,8,2021.00,104.99,0.36,0.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,1,2001.60,13.00,0.04,0.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,1,2001.60,13.00,0.04,0.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,1,2001.60,13.00,0.04,0.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,1,2001.60,13.00,0.04,3.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,6,1893.85,73.79,0.25,2.00,Rolling,STT Paid,icicidirect,22-May-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,7,2897.90,131.78,0.70,0.00,Rolling,STT Paid,icicidirect,23-Jun-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,2,3496.85,45.43,0.24,0.00,Rolling,STT Paid,icicidirect,07-Sep-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,5,3496.70,113.58,0.60,0.00,Rolling,STT Paid,icicidirect,07-Sep-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,9,3333.00,88.68,1.03,0.00,Rolling,STT Paid,icicidirect,07-Oct-2020,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,7,5213.00,107.88,1.28,6.77,Rolling,STT Paid,icicidirect,28-Apr-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,2,5213.00,30.82,0.36,0.00,Rolling,STT Paid,icicidirect,28-Apr-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,7,5713.00,118.23,1.40,0.00,Rolling,STT Paid,icicidirect,04-May-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,1,5713.00,16.89,0.20,0.00,Rolling,STT Paid,icicidirect,04-May-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,1,5713.00,16.89,0.20,0.00,Rolling,STT Paid,icicidirect,04-May-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,9,5745.00,152.82,1.60,0.00,Rolling,STT Paid,icicidirect,26-May-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,5,6990.00,17.90,1.08,1.05,Rolling,STT Paid,icicidirect,24-Aug-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,5,6970.10,17.89,1.08,0.00,Rolling,STT Paid,icicidirect,24-Aug-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,1,7846.00,3.57,0.14,0.00,Rolling,STT Paid,icicidirect,23-Sep-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,2,7846.00,7.13,0.28,1.18,Rolling,STT Paid,icicidirect,23-Sep-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,2,7846.00,7.13,0.28,0.00,Rolling,STT Paid,icicidirect,23-Sep-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,5,7950.00,17.83,0.72,0.00,Rolling,STT Paid,icicidirect,23-Sep-2021,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,6,4318.95,76.59,0.82,4.03,TT,STT Paid,icicidirect,04-Apr-2025,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,24,0.00,0.00,0.00,0.00,TT,STT Not Paid,icicidirect,18-Jun-2025,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Buy,18,880.00,46.82,0.50,2.38,TT,STT Paid,icicidirect,28-Jul-2025,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,Sell,2,853.10,5.04,0.05,0.00,TT,STT Paid,icicidirect,12-Aug-2025,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Buy,44,225.45,64.44,0.34,2.00,Rolling,STT Paid,icicidirect,04-Sep-2020,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Buy,1,225.45,1.46,0.01,0.00,Rolling,STT Paid,icicidirect,04-Sep-2020,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Sell,45,212.00,29.56,0.33,0.00,Rolling,STT Paid,icicidirect,08-Sep-2020,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Buy,54,352.35,56.24,0.60,2.85,TT,STT Paid,icicidirect,01-Apr-2025,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Buy,45,316.00,42.03,0.45,2.00,TT,STT Paid,icicidirect,03-Sep-2025,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Sell,54,394.15,62.91,0.67,0.00,TT,STT Paid,icicidirect,04-Nov-2025,NSE,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,Sell,1,442.45,1.31,0.01,0.00,TT,STT Paid,icicidirect,01-Jun-2026,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,4,527.05,13.70,0.07,0.00,Rolling,STT Paid,icicidirect,02-Sep-2020,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,30,527.05,102.71,0.55,3.56,Rolling,STT Paid,icicidirect,02-Sep-2020,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,11,527.10,37.67,0.20,0.00,Rolling,STT Paid,icicidirect,02-Sep-2020,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,20,531.05,31.40,0.37,0.00,Rolling,STT Paid,icicidirect,09-Sep-2020,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,25,538.70,39.81,0.46,0.00,Rolling,STT Paid,icicidirect,25-Sep-2020,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,72,675.00,143.68,1.70,7.58,Rolling,STT Paid,icicidirect,06-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,1,704.90,2.08,0.02,0.00,Rolling,STT Paid,icicidirect,07-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,35,704.90,72.94,0.86,0.00,Rolling,STT Paid,icicidirect,07-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,36,705.85,75.12,0.89,0.00,Rolling,STT Paid,icicidirect,07-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,45,894.00,17.92,1.25,1.21,Rolling,STT Paid,icicidirect,26-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,1,876.85,0.40,0.03,0.00,Rolling,STT Paid,icicidirect,26-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,44,876.85,17.52,1.20,0.00,Rolling,STT Paid,icicidirect,26-May-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,27,1200.55,95.80,1.00,4.60,Rolling,STT Paid,icicidirect,31-Aug-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,27,1185.60,94.54,0.58,0.00,Rolling,STT Paid,icicidirect,02-Sep-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,27,1245.00,99.27,0.61,1.01,Rolling,STT Paid,icicidirect,09-Sep-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,1,1238.00,0.00,0.02,0.00,Rolling,STT Paid,icicidirect,09-Sep-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,5,1238.00,0.02,0.11,0.00,Rolling,STT Paid,icicidirect,09-Sep-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,21,1238.00,0.08,0.47,0.00,Rolling,STT Paid,icicidirect,09-Sep-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,27,1332.00,17.82,0.65,1.08,Rolling,STT Paid,icicidirect,08-Oct-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,7,1335.55,4.62,0.17,0.00,Rolling,STT Paid,icicidirect,08-Oct-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,9,1335.70,5.94,0.22,0.00,Rolling,STT Paid,icicidirect,08-Oct-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,11,1335.50,7.26,0.26,0.00,Rolling,STT Paid,icicidirect,08-Oct-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Buy,27,1334.00,106.37,0.65,5.86,Rolling,STT Paid,icicidirect,08-Oct-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,1,1556.00,4.60,0.03,0.00,Rolling,STT Paid,icicidirect,17-Nov-2021,NSE,
BSE,BSE LIMITED,INE118H01025,Sell,14,1556.00,64.33,0.39,0.00,Rolling,STT Paid,icicidirect,17-Nov-2021,NSE,
